Id,Label,timeset,indegree,outdegree,Degree,clustering,eigencentrality,componentnumber,strongcompnum,modularity_class,pageranks,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub
49153,49153,,1,6,7,0.166667,0.002832,0,5,31,0.000152,10,15,25,1,1,1,0,0,0.006831
65379,65379,,12,0,12,0.015152,0.14504,0,4,31,0.000564,15,0,15,0,0,0,0,0.027994,0
80040,80040,,21,1,22,0.071429,0.341489,0,3,1,0.00064,33,2,35,0,0,0,0,0.059369,0
115949,115949,,3,1,4,0.333333,0.011647,0,2,25,0.000189,5,2,7,0,0,0,0,0.000938,0
51649,51649,,15,1,16,0.071429,0.080564,0,1,30,0.000307,16,2,18,0,0,0,0,0.048617,0
87139,87139,,1,0,1,0,0.002832,0,0,31,0.000175,1,0,1,0,0,0,0,0.00034,0
16391,16391,,1,17,18,0.069853,0.002832,0,62,15,0.000152,1,18,19,4,0.491228,0.590774,0,0,0.0389
19074,19074,,18,6,24,0.079051,0.151599,0,61,3,0.000324,29,13,42,3,0.538462,0.642857,242.732741,0.048803,0.016999
23822,23822,,24,1,25,0.056159,0.253655,0,45,13,0.000627,34,8,42,0,0,0,0,0.064416,0
18192,18192,,5,17,22,0.064286,0.017476,0,57,13,0.0002,17,32,49,3,0.638298,0.75,91.366667,0.008382,0.045496
32854,32854,,2,2,4,0.333333,0.006769,0,34,2,0.00016,3,3,6,2,0.666667,0.75,2,0.001936,0.001239
18284,18284,,1,1,2,0,0.002832,0,31,15,0.00016,1,1,2,1,1,1,0.5,0.001936,0.00497
2486915,2486915,,18,0,18,0.006536,0.153626,0,29,25,0.00066,18,0,18,0,0,0,0,0.041066,0
58251,58251,,3,0,3,0,0.008496,0,28,13,0.00019,3,0,3,0,0,0,0,0.003843,0
70289,70289,,12,3,15,0.047619,0.054272,0,27,25,0.000262,14,3,17,1,1,1,60.883333,0.051502,0.006971
30394,30394,,13,0,13,0.025641,0.110856,0,23,3,0.000315,14,0,14,0,0,0,0,0.042571,0
56509,56509,,16,0,16,0.020833,0.178905,0,22,3,0.000415,16,0,16,0,0,0,0,0.061287,0
25538,25538,,6,2,8,0.142857,0.026744,0,21,3,0.000175,7,3,10,2,0.545455,0.583333,23.45,0.021519,0.000124
52420,52420,,16,1,17,0.079167,0.110029,0,14,1,0.000303,25,4,29,0,0,0,0,0.05174,0
47580,47580,,17,1,18,0.019608,0.090173,0,13,45,0.000494,19,1,20,2,0.666667,0.75,49.066667,0.070288,0.007356
40161,40161,,11,2,13,0.136364,0.08986,0,10,13,0.000234,12,2,14,1,1,1,5.166667,0.034181,0.010312
42219,42219,,1,1,2,0,0.002832,0,8,45,0.00016,1,1,2,1,1,1,1,0.001936,0.000338
39677,39677,,92,0,92,0.01732,1,0,6,15,0.002329,153,0,153,0,0,0,0,0.276287,0
13,13,,1,44,45,0.042283,0.002832,0,781,30,0.000152,5,52,57,7,0.335951,0.392121,0,0,0.092315
9236,9236,,6,7,13,0.151515,0.024802,0,766,30,0.000176,21,15,36,3,0.538462,0.666667,19.598413,0.016046,0.017245
112671,112671,,10,1,11,0.122222,0.078583,0,250,37,0.000332,17,5,22,0,0,0,0,0.019044,0
35364,35364,,14,9,23,0.106061,0.108854,0,328,2,0.000276,24,17,41,4,0.446809,0.599206,232.489856,0.06141,0.044428
22489,22489,,9,3,12,0.118182,0.057913,0,228,30,0.000201,9,3,12,1,1,1,37.519444,0.042662,0.006975
7743,7743,,6,1,7,0.2,0.033163,0,324,30,0.000197,6,1,7,0,0,0,0,0.018705,0
1277510,1277510,,14,2,16,0.085714,0.214552,0,93,30,0.000619,16,3,19,1,1,1,94.585714,0.021345,0.003243
14690,14690,,13,2,15,0.098901,0.105509,0,175,31,0.000276,21,7,28,2,0.666667,0.75,18.066667,0.037403,0.007356
15955,15955,,18,1,19,0.101307,0.17849,0,164,30,0.000501,24,2,26,0,0,0,0,0.052279,0
2147,2147,,17,42,59,0.049002,0.13898,0,553,15,0.000301,36,71,107,7,0.383068,0.446374,4954.631758,0.049608,0.12685
25749,25749,,6,0,6,0.066667,0.025294,0,765,30,0.000198,8,0,8,0,0,0,0,0.017018,0
47775,47775,,35,1,36,0.058824,0.402781,0,101,30,0.000903,63,12,75,0,0,0,0,0.098892,0
20128,20128,,7,3,10,0.111111,0.032735,0,521,37,0.000198,10,5,15,1,1,1,14.45,0.013558,0.00529
15168,15168,,5,13,18,0.088235,0.033513,0,540,30,0.000188,6,18,24,3,0.557692,0.672414,132.390018,0.023687,0.022461
54964,54964,,87,1,88,0.022588,0.854659,0,123,30,0.001676,209,59,268,0,0,0,0,0.265327,0
234,234,,3,33,36,0.04958,0.010707,0,780,3,0.000159,20,50,70,6,0.34262,0.392273,294.526535,0.00863,0.059876
23309,23309,,17,1,18,0.091912,0.189493,0,289,37,0.000297,25,6,31,0,0,0,0,0.063803,0
270,270,,2,13,15,0.098901,0.006769,0,664,3,0.000155,4,15,19,8,0.275638,0.313253,41.711111,0.004594,0.019588
325418,325418,,54,5,59,0.034483,0.60284,0,163,25,0.0011,83,20,103,1,1,1,485.285784,0.184629,0.009243
9021,9021,,7,35,42,0.043293,0.038475,0,637,3,0.000173,57,84,141,5,0.375,0.476936,439.532405,0.025873,0.071271
14731,14731,,15,1,16,0.095238,0.139139,0,95,2,0.000258,29,9,38,0,0,0,0,0.065764,0
5963,5963,,5,10,15,0.098901,0.048635,0,134,30,0.000185,6,12,18,2,0.68,0.764706,234.75873,0.009098,0.015331
48465,48465,,74,1,75,0.029063,0.792801,0,9,13,0.00223,119,13,132,0,0,0,0,0.207222,0
4435,4435,,3,14,17,0.1125,0.013379,0,384,3,0.000157,4,16,20,5,0.401198,0.495522,21.461544,0.013618,0.048018
11614,11614,,1,4,5,0,0.002832,0,615,13,0.000155,1,4,5,3,0.55,0.651515,5.325,0.004594,0.005091
57698,57698,,3,1,4,0.333333,0.015142,0,613,3,0.000159,13,11,24,0,0,0,0,0.00916,0
22076,22076,,36,7,43,0.044715,0.343199,0,51,30,0.00082,72,22,94,2,0.714286,0.8,686.998693,0.1102,0.014093
