Id,Label,timeset,weighted indegree,weighted outdegree,Weighted Degree,clustering,eigencentrality,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,modularity_class,componentnumber,strongcompnum,pageranks
49153,49153,,51,52,103,0.5,0.009258,1,2,3,1,1,1,0,0.000161,0.000161,131,0,1,0.000112
87139,87139,,3,1,4,0.333333,0.035218,3,1,4,0,0,0,0,0.001807,0.001807,131,0,0,0.00017
16391,16391,,6,18,24,0.111111,0.009258,1,9,10,2,0.785714,0.863636,0,0.011859,0.011859,71,0,13,0.000112
113419,113419,,35,27,62,0.166667,0.138855,6,1,7,0,0,0,0,0.021674,0.021674,71,0,12,0.000168
41021,41021,,50,47,97,0.333333,0.042662,3,1,4,0,0,0,0,0.004471,0.004471,64,0,11,0.000129
40521,40521,,22,10,32,0.090909,0.223798,11,1,12,0,0,0,0,0.021341,0.021341,61,0,10,0.000302
32854,32854,,1,0,1,0,0.009258,1,0,1,0,0,0,0,0.001054,0.001054,71,0,9,0.000123
28004,28004,,5,7,12,0.2,0.02596,2,4,6,1,1,1,3,0.005389,0.005389,40,0,8,0.000123
18284,18284,,1,0,1,0,0.009258,1,0,1,0,0,0,0,0.001054,0.001054,71,0,4,0.000123
20979,20979,,31,24,55,0.166667,0.135138,6,1,7,0,0,0,0,0.009929,0.009929,40,0,3,0.000196
39677,39677,,66,23,89,0.038177,0.73489,29,1,30,0,0,0,0,0.068536,0.068536,71,0,2,0.000795
13,13,,3,17,20,0.125,0.009258,1,8,9,3,0.545455,0.625,0,0.014771,0.014771,63,0,37,0.000112
18180,18180,,5,9,14,0.111111,0.053062,3,7,10,2,0.75,0.833333,23,0.017498,0.017498,78,0,36,0.000129
2148773,2148773,,1,0,1,0,0.009258,1,0,1,0,0,0,0,0.001313,0.001313,63,0,28,0.000124
63925,63925,,4,2,6,0.333333,0.042662,3,1,4,0,0,0,0,0.005245,0.005245,63,0,27,0.00013
15168,15168,,24,20,44,0.142857,0.069764,4,5,9,2,0.833333,0.9,18,0.066184,0.066184,63,0,26,0.000144
5963,5963,,6,3,9,0.25,0.053062,3,2,5,1,1,1,3,0.002212,0.002212,63,0,20,0.000145
45654,45654,,7,6,13,0.166667,0.05192,4,4,8,1,1,1,8,0.01704,0.01704,63,0,18,0.00016
62192,62192,,18,15,33,0.25,0.077208,4,1,5,0,0,0,0,0.056725,0.056725,63,0,14,0.000128
8207,8207,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,0,1,38,0.000112
17,17,,18,25,43,0.142857,0.009258,1,7,8,4,0.442857,0.52957,0,0.005107,0.005107,58,0,69,0.000112
4144,4144,,7,4,11,0.25,0.05192,4,1,5,0,0,0,0,0.008188,0.008188,87,0,68,0.000139
41543,41543,,21,20,41,0.5,0.02596,2,1,3,0,0,0,0,0.000454,0.000454,58,0,67,0.000126
127891,127891,,8,3,11,0.25,0.059364,4,1,5,0,0,0,0,0.011975,0.011975,58,0,66,0.000135
2424,2424,,6,18,24,0.066667,0.02596,2,14,16,2,0.882353,0.933333,15,0.015497,0.015497,47,0,65,0.000126
13913,13913,,62,47,109,0.090909,0.168835,11,2,13,3,0.454545,0.5,86,0.014225,0.014225,71,0,49,0.000266
128028,128028,,9,7,16,0.333333,0.050106,3,1,4,0,0,0,0,0.007126,0.007126,58,0,39,0.00013
73747,73747,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,1,2,70,0.000112
16404,16404,,0,3,3,0,0,0,1,1,1,1,1,0,0.000141,0.000141,61,0,72,0.000112
112671,112671,,23,17,40,0.25,0.054876,4,1,5,0,0,0,0,0.001581,0.001581,61,0,71,0.000265
8217,8217,,1,1,2,0,0.009258,1,1,2,0,0,0,0,0,0,2,3,73,0.000112
29,29,,20,42,62,0.066176,0.009258,1,17,18,5,0.404858,0.496,0,0.038448,0.038448,64,0,162,0.000112
19074,19074,,15,13,28,0.2,0.05192,4,2,6,1,1,1,3,0.008351,0.008351,77,0,161,0.000178
2443,2443,,25,24,49,0.166667,0.05192,4,3,7,1,1,1,6,0.010568,0.010568,64,0,159,0.00022
6952,6952,,4,2,6,0.5,0.02596,2,1,3,0,0,0,0,0.003417,0.003417,64,0,156,0.000118
428190,428190,,20,15,35,0.2,0.081977,5,1,6,0,0,0,0,0.009465,0.009465,64,0,155,0.000142
34824,34824,,4,5,9,0.166667,0.042662,3,4,7,1,1,1,6,0.005953,0.005953,77,0,154,0.000126
5056,5056,,55,50,105,0.190476,0.131411,6,2,8,2,0.666667,0.75,12,0.019811,0.019811,64,0,85,0.000221
5441,5441,,33,32,65,0.190476,0.069764,4,4,8,1,1,1,10,0.031844,0.031844,79,0,150,0.000133
11989,11989,,15,10,25,0.2,0.122153,5,1,6,0,0,0,0,0.055447,0.055447,77,0,148,0.000169
90826,90826,,5,3,8,0.5,0.02596,2,1,3,0,0,0,0,0.003417,0.003417,64,0,147,0.000118
1228,1228,,15,52,67,0.030583,0.035218,3,36,39,4,0.530612,0.673077,144,0.078665,0.078665,64,0,146,0.00013
30176,30176,,27,19,46,0.122222,0.184472,9,2,11,1,1,1,7,0.022606,0.022606,131,0,81,0.00022
51816,51816,,173,136,309,0.071429,0.258636,15,1,16,0,0,0,0,0.103499,0.103499,63,0,79,0.000316
12243,12243,,77,71,148,0.166667,0.068622,5,2,7,1,1,1,4,0.02892,0.02892,77,0,78,0.00013
75893,75893,,4,1,5,0.25,0.098006,4,1,5,0,0,0,0,0.008319,0.008319,47,0,76,0.000147
39709,39709,,31,20,51,0.1,0.229417,10,2,12,1,1,1,15,0.037888,0.037888,71,0,75,0.000195
139300,139300,,5,6,11,0.5,0.009258,1,2,3,1,1,1,0,0.001023,0.001023,83,0,164,0.000112
39693,39693,,26,15,41,0.1,0.244488,10,1,11,0,0,0,0,0.011507,0.011507,83,0,163,0.00036
8233,8233,,0,5,5,0,0,0,4,4,2,0.75,0.833333,0,0.00072,0.00072,77,0,171,0.000112
11827,11827,,6,4,10,0.333333,0.035218,3,1,4,0,0,0,0,0.000297,0.000297,77,0,170,0.000153
26630,26630,,6,5,11,0.5,0.018516,2,1,3,0,0,0,0,0.000064,0.000064,77,0,169,0.000137
26227,26227,,17,14,31,0.166667,0.044476,4,3,7,1,1,1,6,0.007678,0.007678,77,0,168,0.000151
50111,50111,,3,2,5,0.5,0.018516,2,1,3,0,0,0,0,0.000064,0.000064,77,0,165,0.000137
24628,24628,,5,5,10,0,0.009258,1,1,2,0,0,0,0,0,0,3,4,172,0.000112
98361,98361,,2,2,4,0,0.009258,1,1,2,0,0,0,0,0,0,4,5,173,0.000112
81979,81979,,2,2,4,0,0.009258,1,1,2,0,0,0,0,0,0,5,6,174,0.000112
73794,73794,,4,4,8,0,0.009258,1,1,2,0,0,0,0,0,0,6,7,175,0.000112
71,71,,7,18,25,0.1,0.009258,1,10,11,4,0.472973,0.571429,0,0.017195,0.017195,84,0,197,0.000112
100477,100477,,3,2,5,0.5,0.02596,2,1,3,0,0,0,0,0.001528,0.001528,84,0,196,0.000122
117700,117700,,56,33,89,0.083333,0.188492,12,1,13,0,0,0,0,0.024871,0.024871,66,0,195,0.000276
4068,4068,,4,7,11,0.2,0.02596,2,4,6,3,0.625,0.766667,5,0.005038,0.005038,84,0,194,0.000122
9382,9382,,27,24,51,0.166667,0.061178,5,2,7,2,0.666667,0.75,6,0.016296,0.016296,84,0,191,0.000154
1965,1965,,32,32,64,0.071429,0.07788,6,9,15,3,0.666667,0.77381,65,0.035572,0.035572,77,0,190,0.000167
10420,10420,,12,7,19,0.166667,0.103168,6,1,7,0,0,0,0,0.011509,0.011509,66,0,132,0.000177
134502,134502,,2,1,3,0.5,0.02596,2,1,3,0,0,0,0,0.001528,0.001528,84,0,182,0.000122
1343,1343,,90,89,179,0.125,0.061178,5,5,10,2,0.666667,0.75,25.5,0.028609,0.028609,84,0,181,0.000143
57428,57428,,16,58,74,0.083333,0.009258,1,12,13,2,0.823529,0.892857,0,0.009641,0.009641,7,0,210,0.000112
127269,127269,,7,4,11,0.5,0.02596,2,1,3,0,0,0,0,0.000857,0.000857,7,0,209,0.00012
82475,82475,,8,6,14,0.5,0.02596,2,1,3,0,0,0,0,0.000857,0.000857,7,0,208,0.00012
125123,125123,,4,3,7,0.5,0.02596,2,1,3,0,0,0,0,0.000857,0.000857,7,0,207,0.00012
117061,117061,,4,3,7,0.5,0.02596,2,1,3,0,0,0,0,0.000857,0.000857,7,0,206,0.00012
66519,66519,,63,59,122,0.090909,0.118729,8,4,12,1,1,1,23.5,0.038629,0.038629,41,0,205,0.000168
80222,80222,,24,15,39,0.2,0.053734,5,1,6,0,0,0,0,0.00926,0.00926,7,0,202,0.00015
73315,73315,,14,7,21,0.2,0.086466,5,1,6,0,0,0,0,0.001615,0.001615,7,0,201,0.000257
81394,81394,,62,17,79,0.055556,0.420572,19,1,20,0,0,0,0,0.040114,0.040114,7,0,17,0.000586
111731,111731,,14,11,25,0.25,0.087607,4,1,5,0,0,0,0,0.001334,0.001334,7,0,200,0.000227
75832,75832,,4,3,7,0.5,0.02596,2,1,3,0,0,0,0,0.000857,0.000857,7,0,199,0.00012
78847,78847,,6,2,8,0.2,0.138474,5,1,6,0,0,0,0,0.013254,0.013254,78,0,198,0.000188
91,91,,22,28,50,0.142857,0.009258,1,7,8,4,0.384615,0.486111,0,0.006085,0.006085,58,0,224,0.000112
11333,11333,,80,78,158,0.166667,0.05192,4,3,7,3,0.45,0.537037,27,0.00753,0.00753,131,0,223,0.000173
404,404,,5,8,13,0.166667,0.02596,2,5,7,2,0.833333,0.9,5,0.010606,0.010606,58,0,215,0.000126
32173,32173,,14,7,21,0.142857,0.139527,8,1,9,0,0,0,0,0.015349,0.015349,66,0,212,0.00021
95663,95663,,12,6,18,0.142857,0.15699,7,1,8,0,0,0,0,0.013235,0.013235,62,0,211,0.000243
26180,26180,,12,10,22,0.333333,0.060506,3,1,4,0,0,0,0,0.007532,0.007532,58,0,141,0.000129
96,96,,1,8,9,0.166667,0.009258,1,7,8,3,0.490909,0.567901,0,0.014819,0.014819,79,0,228,0.000112
4491,4491,,11,9,20,0.333333,0.042662,3,1,4,0,0,0,0,0.001924,0.001924,79,0,227,0.000135
14606,14606,,26,28,54,0.109091,0.197903,5,7,12,2,0.75,0.833333,125,0.024697,0.024697,79,0,48,0.000268
