Id,Label,timeset,indegree,outdegree,Degree,weighted indegree,weighted outdegree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,Authority,Hub,clustering,componentnumber,strongcompnum,eigencentrality,modularity_class,pageranks
49153,49153,,1,2,3,51,52,103,1,1,1,0,0,0.000238,0.5,0,1,0.009258,125,0.000112
87139,87139,,3,1,4,3,1,4,0,0,0,0,0.002591,0,0.333333,0,0,0.035218,125,0.00017
16391,16391,,1,9,10,6,18,24,2,0.785714,0.863636,0,0,0.014095,0.111111,0,13,0.009258,19,0.000112
113419,113419,,6,1,7,35,27,62,0,0,0,0,0.0197,0,0.166667,0,12,0.138855,19,0.000168
41021,41021,,3,1,4,50,47,97,0,0,0,0,0.00479,0,0.333333,0,11,0.042662,74,0.000129
40521,40521,,11,1,12,22,10,32,0,0,0,0,0.026963,0,0.090909,0,10,0.223798,59,0.000302
32854,32854,,1,0,1,1,0,1,0,0,0,0,0.001297,0,0,0,9,0.009258,19,0.000123
28004,28004,,2,4,6,5,7,12,1,1,1,3,0.001297,0.00423,0.2,0,8,0.02596,130,0.000123
18284,18284,,1,0,1,1,0,1,0,0,0,0,0.001297,0,0,0,4,0.009258,19,0.000123
20979,20979,,6,1,7,31,24,55,0,0,0,0,0.009951,0,0.166667,0,3,0.135138,130,0.000196
39677,39677,,29,1,30,66,23,89,0,0,0,0,0.087841,0,0.038177,0,2,0.73489,19,0.000795
13,13,,1,8,9,3,17,20,3,0.545455,0.625,0,0,0.018741,0.125,0,37,0.009258,173,0.000112
18180,18180,,3,7,10,5,9,14,2,0.75,0.833333,23,0.012231,0.007735,0.111111,0,36,0.053062,1,0.000129
2148773,2148773,,1,0,1,1,0,1,0,0,0,0,0.001725,0,0,0,28,0.009258,173,0.000124
63925,63925,,3,1,4,4,2,6,0,0,0,0,0.007365,0,0.333333,0,27,0.042662,173,0.00013
15168,15168,,4,5,9,24,20,44,2,0.833333,0.9,18,0.080094,0.017454,0.142857,0,26,0.069764,173,0.000144
5963,5963,,3,2,5,6,3,9,1,1,1,3,0.00198,0.000263,0.25,0,20,0.053062,173,0.000145
45654,45654,,4,4,8,7,6,13,1,1,1,8,0.014729,0.00855,0.166667,0,18,0.05192,173,0.00016
62192,62192,,4,1,5,18,15,33,0,0,0,0,0.085497,0,0.25,0,14,0.077208,173,0.000128
8207,8207,,1,1,2,1,1,2,0,0,0,0,0,0,0,1,38,0.009258,0,0.000112
17,17,,1,7,8,18,25,43,4,0.442857,0.52957,0,0,0.004973,0.142857,0,69,0.009258,133,0.000112
4144,4144,,4,1,5,7,4,11,0,0,0,0,0.010399,0,0.25,0,68,0.05192,133,0.000139
41543,41543,,2,1,3,21,20,41,0,0,0,0,0.000458,0,0.5,0,67,0.02596,133,0.000126
127891,127891,,4,1,5,8,3,11,0,0,0,0,0.017199,0,0.25,0,66,0.059364,133,0.000135
2424,2424,,2,14,16,6,18,24,2,0.882353,0.933333,15,0.000458,0.019943,0.066667,0,65,0.02596,1,0.000126
13913,13913,,11,2,13,62,47,109,3,0.454545,0.5,86,0.015837,0.000949,0.090909,0,49,0.168835,19,0.000266
128028,128028,,3,1,4,9,7,16,0,0,0,0,0.009684,0,0.333333,0,39,0.050106,133,0.00013
73747,73747,,1,1,2,1,1,2,0,0,0,0,0,0,0,2,70,0.009258,2,0.000112
16404,16404,,0,1,1,0,3,3,1,1,1,0,0,0.000171,0,0,72,0,130,0.000112
112671,112671,,4,1,5,23,17,40,0,0,0,0,0.001862,0,0.25,0,71,0.054876,130,0.000265
8217,8217,,1,1,2,1,1,2,0,0,0,0,0,0,0,3,73,0.009258,3,0.000112
29,29,,1,17,18,20,42,62,5,0.404858,0.496,0,0,0.037944,0.066176,0,162,0.009258,74,0.000112
19074,19074,,4,2,6,15,13,28,1,1,1,3,0.004178,0.007073,0.2,0,161,0.05192,105,0.000178
2443,2443,,4,3,7,25,24,49,1,1,1,6,0.010785,0.00179,0.166667,0,159,0.05192,74,0.00022
6952,6952,,2,1,3,4,2,6,0,0,0,0,0.003492,0,0.5,0,156,0.02596,74,0.000118
