clustering_a2q,eigencentrality_a2q,pageranks_a2q,closnesscentrality_a2q,harmonicclosnesscentrality_a2q,betweenesscentrality_a2q,clustering_c2a,eigencentrality_c2a,pageranks_c2a,closnesscentrality_c2a,harmonicclosnesscentrality_c2a,betweenesscentrality_c2a,clustering_c2q,clustering_c2q,eigencentrality_c2q,pageranks_c2q,closnesscentrality_c2q,harmonicclosnesscentrality_c2q,betweenesscentrality_c2q
0.166667,0.002832,0.000152,1,1,0,0.5,0.009258,0.000112,1,1,0,0.5,0.5,0.009258,0.000112,1,1,0
0.015152,0.14504,0.000564,0,0,0,0.333333,0.035218,0.00017,0,0,0,0.333333,0.333333,0.035218,0.00017,0,0,0
0.071429,0.341489,0.00064,0,0,0,0.111111,0.009258,0.000112,0.785714,0.863636,0,0.111111,0.111111,0.009258,0.000112,0.785714,0.863636,0
0.333333,0.011647,0.000189,0,0,0,0.166667,0.138855,0.000168,0,0,0,0.166667,0.166667,0.138855,0.000168,0,0,0
0.071429,0.080564,0.000307,0,0,0,0.333333,0.042662,0.000129,0,0,0,0.333333,0.333333,0.042662,0.000129,0,0,0
0,0.002832,0.000175,0,0,0,0.090909,0.223798,0.000302,0,0,0,0.090909,0.090909,0.223798,0.000302,0,0,0
0.069853,0.002832,0.000152,0.491228,0.590774,0,0,0.009258,0.000123,0,0,0,0,0,0.009258,0.000123,0,0,0
0.079051,0.151599,0.000324,0.538462,0.642857,242.732741,0.2,0.02596,0.000123,1,1,3,0.2,0.2,0.02596,0.000123,1,1,3
0.056159,0.253655,0.000627,0,0,0,0,0.009258,0.000123,0,0,0,0,0,0.009258,0.000123,0,0,0
0.064286,0.017476,0.0002,0.638298,0.75,91.366667,0.166667,0.135138,0.000196,0,0,0,0.166667,0.166667,0.135138,0.000196,0,0,0
0.333333,0.006769,0.00016,0.666667,0.75,2,0.038177,0.73489,0.000795,0,0,0,0.038177,0.038177,0.73489,0.000795,0,0,0
0,0.002832,0.00016,1,1,0.5,0.125,0.009258,0.000112,0.545455,0.625,0,0.125,0.125,0.009258,0.000112,0.545455,0.625,0
0.006536,0.153626,0.00066,0,0,0,0.111111,0.053062,0.000129,0.75,0.833333,23,0.111111,0.111111,0.053062,0.000129,0.75,0.833333,23
0,0.008496,0.00019,0,0,0,0,0.009258,0.000124,0,0,0,0,0,0.009258,0.000124,0,0,0
0.047619,0.054272,0.000262,1,1,60.883333,0.333333,0.042662,0.00013,0,0,0,0.333333,0.333333,0.042662,0.00013,0,0,0
0.025641,0.110856,0.000315,0,0,0,0.142857,0.069764,0.000144,0.833333,0.9,18,0.142857,0.142857,0.069764,0.000144,0.833333,0.9,18
0.020833,0.178905,0.000415,0,0,0,0.25,0.053062,0.000145,1,1,3,0.25,0.25,0.053062,0.000145,1,1,3
0.142857,0.026744,0.000175,0.545455,0.583333,23.45,0.166667,0.05192,0.00016,1,1,8,0.166667,0.166667,0.05192,0.00016,1,1,8
0.079167,0.110029,0.000303,0,0,0,0.25,0.077208,0.000128,0,0,0,0.25,0.25,0.077208,0.000128,0,0,0
0.019608,0.090173,0.000494,0.666667,0.75,49.066667,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.136364,0.08986,0.000234,1,1,5.166667,0.142857,0.009258,0.000112,0.442857,0.52957,0,0.142857,0.142857,0.009258,0.000112,0.442857,0.52957,0
0,0.002832,0.00016,1,1,1,0.25,0.05192,0.000139,0,0,0,0.25,0.25,0.05192,0.000139,0,0,0
0.01732,1,0.002329,0,0,0,0.5,0.02596,0.000126,0,0,0,0.5,0.5,0.02596,0.000126,0,0,0
0.042283,0.002832,0.000152,0.335951,0.392121,0,0.25,0.059364,0.000135,0,0,0,0.25,0.25,0.059364,0.000135,0,0,0
0.151515,0.024802,0.000176,0.538462,0.666667,19.598413,0.066667,0.02596,0.000126,0.882353,0.933333,15,0.066667,0.066667,0.02596,0.000126,0.882353,0.933333,15
0.122222,0.078583,0.000332,0,0,0,0.090909,0.168835,0.000266,0.454545,0.5,86,0.090909,0.090909,0.168835,0.000266,0.454545,0.5,86
0.106061,0.108854,0.000276,0.446809,0.599206,232.489856,0.333333,0.050106,0.00013,0,0,0,0.333333,0.333333,0.050106,0.00013,0,0,0
0.118182,0.057913,0.000201,1,1,37.519444,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.2,0.033163,0.000197,0,0,0,0,0,0.000112,1,1,0,0,0,0,0.000112,1,1,0
0.085714,0.214552,0.000619,1,1,94.585714,0.25,0.054876,0.000265,0,0,0,0.25,0.25,0.054876,0.000265,0,0,0
0.098901,0.105509,0.000276,0.666667,0.75,18.066667,0,0.009258,0.000112,0,0,0,0,0,0.009258,0.000112,0,0,0
0.101307,0.17849,0.000501,0,0,0,0.066176,0.009258,0.000112,0.404858,0.496,0,0.066176,0.066176,0.009258,0.000112,0.404858,0.496,0
0.049002,0.13898,0.000301,0.383068,0.446374,4954.631758,0.2,0.05192,0.000178,1,1,3,0.2,0.2,0.05192,0.000178,1,1,3
0.066667,0.025294,0.000198,0,0,0,0.166667,0.05192,0.00022,1,1,6,0.166667,0.166667,0.05192,0.00022,1,1,6
0.058824,0.402781,0.000903,0,0,0,0.5,0.02596,0.000118,0,0,0,0.5,0.5,0.02596,0.000118,0,0,0
0.111111,0.032735,0.000198,1,1,14.45,0.2,0.081977,0.000142,0,0,0,0.2,0.2,0.081977,0.000142,0,0,0
0.088235,0.033513,0.000188,0.557692,0.672414,132.390018,0.166667,0.042662,0.000126,1,1,6,0.166667,0.166667,0.042662,0.000126,1,1,6
0.022588,0.854659,0.001676,0,0,0,0.190476,0.131411,0.000221,0.666667,0.75,12,0.190476,0.190476,0.131411,0.000221,0.666667,0.75,12
0.04958,0.010707,0.000159,0.34262,0.392273,294.526535,0.190476,0.069764,0.000133,1,1,10,0.190476,0.190476,0.069764,0.000133,1,1,10
0.091912,0.189493,0.000297,0,0,0,0.2,0.122153,0.000169,0,0,0,0.2,0.2,0.122153,0.000169,0,0,0
0.098901,0.006769,0.000155,0.275638,0.313253,41.711111,0.5,0.02596,0.000118,0,0,0,0.5,0.5,0.02596,0.000118,0,0,0
0.034483,0.60284,0.0011,1,1,485.285784,0.030583,0.035218,0.00013,0.530612,0.673077,144,0.030583,0.030583,0.035218,0.00013,0.530612,0.673077,144
0.043293,0.038475,0.000173,0.375,0.476936,439.532405,0.122222,0.184472,0.00022,1,1,7,0.122222,0.122222,0.184472,0.00022,1,1,7
0.095238,0.139139,0.000258,0,0,0,0.071429,0.258636,0.000316,0,0,0,0.071429,0.071429,0.258636,0.000316,0,0,0
0.098901,0.048635,0.000185,0.68,0.764706,234.75873,0.166667,0.068622,0.00013,1,1,4,0.166667,0.166667,0.068622,0.00013,1,1,4
0.029063,0.792801,0.00223,0,0,0,0.25,0.098006,0.000147,0,0,0,0.25,0.25,0.098006,0.000147,0,0,0
0.1125,0.013379,0.000157,0.401198,0.495522,21.461544,0.1,0.229417,0.000195,1,1,15,0.1,0.1,0.229417,0.000195,1,1,15
0,0.002832,0.000155,0.55,0.651515,5.325,0.5,0.009258,0.000112,1,1,0,0.5,0.5,0.009258,0.000112,1,1,0
0.333333,0.015142,0.000159,0,0,0,0.1,0.244488,0.00036,0,0,0,0.1,0.1,0.244488,0.00036,0,0,0
0.044715,0.343199,0.00082,0.714286,0.8,686.998693,0,0,0.000112,0.75,0.833333,0,0,0,0,0.000112,0.75,0.833333,0
0.25,0.014644,0.00023,0,0,0,0.333333,0.035218,0.000153,0,0,0,0.333333,0.333333,0.035218,0.000153,0,0,0
0.032051,0.169428,0.000709,0,0,0,0.5,0.018516,0.000137,0,0,0,0.5,0.5,0.018516,0.000137,0,0,0
0.057471,0.023017,0.000165,0.326329,0.392235,357.700809,0.166667,0.044476,0.000151,1,1,6,0.166667,0.166667,0.044476,0.000151,1,1,6
