,i,j,t
0,174,287,1
1,46,101,1
2,94,224,1
3,118,154,1
4,310,312,1
5,21,60,1
6,42,64,1
7,105,179,1
8,5,70,1
9,101,111,1
10,155,211,1
11,77,267,1
12,37,147,1
13,163,213,1
14,4,16,1
15,42,191,1
16,69,104,1
17,55,257,1
18,132,135,1
19,114,268,2
20,78,252,2
21,198,202,2
22,42,191,2
23,37,147,2
24,42,64,2
25,290,304,2
26,1,276,2
27,98,135,2
28,300,301,2
29,310,312,2
30,155,211,2
31,46,101,2
32,64,191,2
33,20,257,2
34,21,60,2
35,69,104,2
36,85,252,2
37,308,318,2
38,77,267,2
39,4,16,2
40,4,16,3
41,21,60,3
42,2,264,3
43,300,301,3
44,69,104,3
45,142,211,3
46,76,193,3
47,78,85,3
48,174,287,3
49,4,162,3
50,127,264,3
51,155,211,3
52,85,252,3
53,94,224,3
54,1,276,3
55,21,241,3
56,136,212,3
57,29,279,3
58,5,70,3
59,37,147,3
60,105,179,3
61,42,191,4
62,155,211,4
63,21,60,4
64,127,264,4
65,21,76,4
66,40,47,4
67,69,104,4
68,1,21,4
69,163,213,4
70,142,155,4
71,43,132,4
72,142,211,4
73,16,162,4
74,77,267,4
75,5,70,4
76,21,241,4
77,129,135,4
78,29,279,4
79,136,212,4
80,308,318,4
81,300,301,4
82,42,64,4
83,1,276,5
84,78,85,5
85,210,224,5
86,136,212,5
87,55,257,5
88,310,312,5
89,42,191,5
90,64,191,5
91,37,147,5
92,20,257,5
93,27,50,5
94,85,252,5
95,112,205,5
96,5,70,5
97,69,104,5
98,43,132,5
99,197,226,5
100,18,92,5
101,94,224,5
102,163,213,5
103,115,172,5
104,40,47,5
105,18,92,6
106,89,268,6
107,27,50,6
108,43,132,6
109,78,252,6
110,69,104,6
111,112,205,6
112,1,276,6
113,21,60,6
114,4,16,6
115,4,162,6
116,64,191,6
117,101,111,6
118,55,257,6
119,300,301,6
120,1,240,6
121,163,213,6
122,20,257,6
123,127,264,6
124,42,64,6
125,155,211,6
126,16,162,6
127,136,212,6
128,76,193,6
129,42,191,6
130,98,135,6
131,321,325,7
132,42,191,7
133,20,257,7
134,155,211,7
135,76,193,7
136,136,212,7
137,5,70,7
138,69,104,7
139,43,132,7
140,64,191,7
141,40,47,7
142,310,312,7
143,115,172,7
144,195,210,7
145,21,241,7
146,4,162,7
147,163,213,7
148,241,263,7
149,18,92,7
150,127,264,7
151,89,268,7
152,210,224,7
153,94,224,7
154,42,64,7
155,308,318,7
156,118,154,7
157,186,212,7
158,58,86,7
159,21,60,7
160,105,179,7
161,1,240,8
162,114,185,8
163,94,224,8
164,46,135,8
165,94,210,8
166,118,154,8
167,89,268,8
168,78,252,8
169,20,257,8
170,174,287,8
171,72,98,8
172,43,132,8
173,76,193,8
174,43,179,8
175,42,191,8
176,186,212,8
177,294,318,8
178,155,211,8
179,300,301,8
180,21,241,8
181,136,186,8
182,69,104,8
183,308,318,8
184,115,172,8
185,85,252,8
186,129,135,8
187,40,47,8
188,155,211,9
189,112,205,9
190,29,279,9
191,163,213,9
192,20,257,9
193,174,287,9
194,75,95,9
195,105,179,9
196,89,268,9
197,72,105,9
198,1,240,9
199,16,162,9
200,78,252,9
201,186,212,9
202,129,135,9
203,40,47,9
204,43,179,9
205,300,301,9
206,85,252,9
207,98,135,9
208,127,264,9
209,136,212,9
210,5,70,9
211,118,154,9
212,94,210,9
213,72,98,9
214,115,172,9
215,195,234,10
216,140,275,10
217,1,276,10
218,76,193,10
219,78,252,10
220,195,197,10
221,89,268,10
222,1,240,10
223,112,205,10
224,27,50,10
225,64,191,10
226,43,179,10
227,85,252,10
228,21,60,10
229,300,301,10
230,20,257,10
231,321,325,11
232,29,279,11
233,100,137,11
234,210,224,11
235,195,197,11
236,300,301,11
237,20,257,11
238,135,147,11
239,27,50,11
240,115,172,11
241,21,241,11
242,42,191,11
243,37,147,11
244,72,147,11
245,85,252,11
246,76,193,11
247,195,226,11
248,42,64,11
249,58,86,11
250,186,212,11
251,1,240,11
252,94,224,11
253,112,205,11
254,89,268,11
